category_code_alphabetical,category_code_numerical,video_name_count,category,tiktok_search_prompt,link,MediaInfo_video_length_seconds,MediaInfo_video_length_milliseconds,channel,video_name_count_channel,video_pathway,length_grouping
A,1,soccer_juggling_1,soccer_juggling,football freestyle,https://www.tiktok.com/@isabellapiete/video/7379034325595032875?q=soccer%20juggling%20freestyle&t=1753316164155,15.069,15069,isabellapiete,soccer_juggling_1_isabellapiete,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_1_isabellapiete.mp4,short
A,1,soccer_juggling_10,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@v.vvvv.9/video/7529500135127059717?q=soccer%20freestyle%20tricks&t=1753368396157,26.748,26748,v.vvvv.9,soccer_juggling_10_v.vvvv.9,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_10_v.vvvv.9.mp4,short
A,1,soccer_juggling_11,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@eb_freestyle/video/7525888572377894158,20.433,20433,eb_freestyle,soccer_juggling_11_eb_freestyle,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_11_eb_freestyle.mp4,short
A,1,soccer_juggling_12,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@malteczelk/video/7516937811149196566?q=football%20freestyle%20women&t=1753374362977,27.761,27761,malteczelk,soccer_juggling_12_malteczelk,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_12_malteczelk.mp4,short
A,1,soccer_juggling_2,soccer_juggling,soccer freestyle tricks,https://www.tiktok.com/@khfreestyle1/video/7465892544073780526?q=soccer%20juggling%20freestyle&t=1753362723127,13.073,13073,khfreestyle1,soccer_juggling_2_khfreestyle1,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_2_khfreestyle1.mp4,short
A,1,soccer_juggling_3,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@moomar/video/7087219054598966534,13.944,13944,moomar,soccer_juggling_3_moomar,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_3_moomar.mp4,short
A,1,soccer_juggling_4,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@risingballer_11/video/7529945747450514743?q=soccer%20freestyle&t=1753365883944,15.138,15138,risingballer_11,soccer_juggling_4_risingballer_11,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_4_risingballer_11.mp4,short
A,1,soccer_juggling_5,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@maelie_pl/video/7508156894603791647,14.001,14001,maelie_pl,soccer_juggling_5_maelie_pl,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_5_maelie_pl.mp4,short
A,1,soccer_juggling_6,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@alicefreestyleball/video/6976353825040993541,17.159,17159,alicefreestyleball,soccer_juggling_6_alicefreestyleball,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_6_alicefreestyleball.mp4,short
A,1,soccer_juggling_7,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@majkafreestyle/video/7098602029953682693,20.131,20131,majkafreestyle,soccer_juggling_7_majkafreestyle,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_7_majkafreestyle.mp4,short
A,1,soccer_juggling_8,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@lia.lewis/video/7480999032312188182?q=soccer%20freestyle%20girls&t=1753367996772,16.276,16276,lia.lewis,soccer_juggling_8_lia.lewis,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_8_lia.lewis.mp4,short
A,1,soccer_juggling_9,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@pwgfreestyle/video/7447576459582967062,15.487,15487,pwgfreestyle,soccer_juggling_9_pwgfreestyle,stimuli/tiktok_stim_veryfast_social/soccer_juggling/soccer_juggling_9_pwgfreestyle.mp4,short
B,2,dance_1,dance,passo bem salto dance,https://www.tiktok.com/@annikarchives/video/7490541171429641479?q=Passo%20Bem%20Solto%20Music%20Dance&t=1753924305417,15.046,15046,annikarchives,dance_1_annikarchives,stimuli/tiktok_stim_veryfast_social/dance/dance_1_annikarchives.mp4,practice
B,2,dance_10,dance,passo bem solto dance,https://www.tiktok.com/@an1tahuang/video/7491411085652790583?q=Passo%20Bem%20Solto%20dance%20duet&t=1753927729039,15.022,15022,an1tahuang,dance_10_an1tahuang,stimuli/tiktok_stim_veryfast_social/dance/dance_10_an1tahuang.mp4,practice
B,2,dance_11,dance,passo bem solto dance,https://www.tiktok.com/@ivy.bakarbessy/video/7490604848933702914?q=passo%20bem%20solto%20dance&t=1754584348570,15.022,15022,ivy.bakarbessy,dance_11_ivy.bakarbessy,stimuli/tiktok_stim_veryfast_social/dance/dance_11_ivy.bakarbessy.mp4,practice
B,2,dance_12,dance,passo bem solto dance,https://www.tiktok.com/@heyelvinaa/video/7491406643184487726?q=Passo%20Bem%20Solto%20Music%20Dance&t=1753924305417,15.089,15089,heyelvinaa,dance_12_heyelvinaa,stimuli/tiktok_stim_veryfast_social/dance/dance_12_heyelvinaa.mp4,practice
B,2,dance_2,dance,passo bem salto dance,https://www.tiktok.com/@dukasisun/video/7496483558849121558?q=Passo%20Bem%20Solto%20dance%20challenge&t=1753925047021,16.183,16183,dukasisun,dance_2_dukasisun,stimuli/tiktok_stim_veryfast_social/dance/dance_2_dukasisun.mp4,practice
B,2,dance_3,dance,passo bem salto dance,https://www.tiktok.com/@bngylmz/video/7492786182326111510?q=Passo%20Bem%20Solto%20Music%20Dance&t=1753924305417,15.022,15022,bngylmz,dance_3_bngylmz,stimuli/tiktok_stim_veryfast_social/dance/dance_3_bngylmz.mp4,practice
B,2,dance_4,dance,passo bem salto dance,https://www.tiktok.com/@hxxynnnis/video/7513626691109981458?q=passo%20bem%20salto%20dance&t=1753905507901,15.069,15069,hxxynnnis,dance_4_hxxynnnis,stimuli/tiktok_stim_veryfast_social/dance/dance_4_hxxynnnis.mp4,practice
B,2,dance_5,dance,passo bem salto dance,https://www.tiktok.com/@tiktot2013/video/7494792290548976901?q=passo%20bem%20salto%20dance&t=1752845632766,15.487,15487,tiktot2013,dance_5_tiktot2013,stimuli/tiktok_stim_veryfast_social/dance/dance_5_tiktot2013.mp4,practice
B,2,dance_6,dance,passo bem salto dance,https://www.tiktok.com/@emiliyyam/video/7487986972707786002?q=passo%20bem%20salto%20dance&t=1752845966114,14.558,14558,emiliyyam,dance_6_emiliyyam,stimuli/tiktok_stim_veryfast_social/dance/dance_6_emiliyyam.mp4,practice
B,2,dance_7,dance,passo bem salto dance,https://www.tiktok.com/@papitomass/video/7491205338000018731?q=passo%20bem%20salto%20dance&t=1752845966114,13.934,13934,papitomass,dance_7_papitomass,stimuli/tiktok_stim_veryfast_social/dance/dance_7_papitomass.mp4,practice
B,2,dance_8,dance,passo bem salto dance,https://www.tiktok.com/@userd120j1940li/video/7499714039799385374?q=Passo%20Bem%20Solto%20dance%20challenge&t=1753925047021,15.069,15069,userd120j1940li,dance_8_userd120j1940li,stimuli/tiktok_stim_veryfast_social/dance/dance_8_userd120j1940li.mp4,practice
B,2,dance_9,dance,passo bem solto dance,https://www.tiktok.com/@szupi_official/video/7495798884653124886?q=passo%20bem%20solto%20dance&t=1752846309475,14.767,14767,szupi_official,dance_9_szupi_official,stimuli/tiktok_stim_veryfast_social/dance/dance_9_szupi_official.mp4,practice
C,3,dogs_1,dogs,dog growth timelapse,https://www.tiktok.com/@marleaux.m/video/7530715443649137933?q=dog%20growth%20timelapse&t=1753560618810,21.577,21577,marleaux.m,dogs_1_marleaux.m,stimuli/tiktok_stim_veryfast_social/dogs/dogs_1_marleaux.m.mp4,medium
